Latitude,Longitude,Altitude,Time,Segment
-34.57641134,-58.49445133,50.900001525878906,2021-06-12T11:27:10Z,
-34.57628671,-58.49456711,50.900001525878906,2021-06-12T11:27:12Z,
-34.57618621,-58.49465674,51.5,2021-06-12T11:27:14Z,
-34.57603832,-58.49478362,51.599998474121094,2021-06-12T11:27:16Z,
-34.57590419,-58.49489676,50.79999923706055,2021-06-12T11:27:18Z,
-34.57575336,-58.4949815,51.20000076293945,2021-06-12T11:27:20Z,
-34.57565692,-58.49494553,51.0,2021-06-12T11:27:22Z,
-34.57558234,-58.49485085,50.79999923706055,2021-06-12T11:27:24Z,
-34.57549195,-58.49468552,50.400001525878906,2021-06-12T11:27:26Z,
-34.57541187,-58.49451582,50.29999923706055,2021-06-12T11:27:28Z,
-34.57533027,-58.49435352,49.0,2021-06-12T11:27:30Z,
-34.57525277,-58.49420213,48.099998474121094,2021-06-12T11:27:32Z,
-34.57519115,-58.49408307,49.20000076293945,2021-06-12T11:27:34Z,
-34.57510125,-58.49394631,48.099998474121094,2021-06-12T11:27:36Z,
-34.57501421,-58.49379849,48.400001525878906,2021-06-12T11:27:38Z,
-34.57493685,-58.49363684,47.900001525878906,2021-06-12T11:27:40Z,
-34.57483598,-58.49348612,48.5,2021-06-12T11:27:42Z,
-34.57474522,-58.49334714,47.400001525878906,2021-06-12T11:27:44Z,
-34.57467752,-58.49322154,49.099998474121094,2021-06-12T11:27:46Z,
-34.57461866,-58.49309209,50.5,2021-06-12T11:27:48Z,
-34.57455509,-58.492993,51.70000076293945,2021-06-12T11:27:50Z,
-34.57450695,-58.49290555,50.900001525878906,2021-06-12T11:27:52Z,
-34.57444133,-58.49276838,51.5,2021-06-12T11:27:54Z,
-34.57435256,-58.49259919,50.900001525878906,2021-06-12T11:27:56Z,
-34.5742589,-58.49243112,50.099998474121094,2021-06-12T11:27:58Z,
-34.5741677,-58.49225907,48.900001525878906,2021-06-12T11:28:00Z,
-34.57407994,-58.4920763,46.0,2021-06-12T11:28:02Z,
-34.5740053,-58.49193898,45.20000076293945,2021-06-12T11:28:04Z,
-34.57394373,-58.49182391,44.5,2021-06-12T11:28:06Z,
-34.5738929,-58.49170185,44.099998474121094,2021-06-12T11:28:08Z,
-34.57383481,-58.49158402,44.0,2021-06-12T11:28:10Z,
-34.57375684,-58.49145789,44.20000076293945,2021-06-12T11:28:12Z,
-34.5736841,-58.49134341,43.900001525878906,2021-06-12T11:28:14Z,
-34.57363585,-58.49122767,43.79999923706055,2021-06-12T11:28:16Z,
-34.57358141,-58.49115059,45.400001525878906,2021-06-12T11:28:18Z,
-34.57353917,-58.49106126,43.400001525878906,2021-06-12T11:28:20Z,
-34.57349446,-58.49099234,43.400001525878906,2021-06-12T11:28:22Z,
-34.57344439,-58.49090691,42.70000076293945,2021-06-12T11:28:24Z,
-34.57340772,-58.4908281,43.29999923706055,2021-06-12T11:28:26Z,
-34.57335999,-58.49076071,44.5,2021-06-12T11:28:28Z,
-34.57331058,-58.49069311,44.70000076293945,2021-06-12T11:28:30Z,
-34.57321827,-58.49053262,43.29999923706055,2021-06-12T11:28:32Z,
-34.57314033,-58.49038757,42.099998474121094,2021-06-12T11:28:34Z,
-34.57307552,-58.49025864,42.400001525878906,2021-06-12T11:28:36Z,
-34.57301345,-58.49013829,42.0,2021-06-12T11:28:38Z,
-34.5729589,-58.49004328,42.0,2021-06-12T11:28:40Z,
-34.57290753,-58.48994846,41.70000076293945,2021-06-12T11:28:42Z,
-34.57286426,-58.48986207,41.29999923706055,2021-06-12T11:28:44Z,
-34.57282223,-58.48977068,41.099998474121094,2021-06-12T11:28:46Z,
-34.57276175,-58.48967479,41.29999923706055,2021-06-12T11:28:48Z,
-34.57270098,-58.48959111,41.70000076293945,2021-06-12T11:28:50Z,
-34.57263025,-58.4895067,41.400001525878906,2021-06-12T11:28:52Z,
-34.57257938,-58.48940569,41.599998474121094,2021-06-12T11:28:54Z,
-34.57251638,-58.48928541,40.5,2021-06-12T11:28:56Z,
-34.5724456,-58.48914621,40.5,2021-06-12T11:28:58Z,
-34.57236968,-58.48899593,40.29999923706055,2021-06-12T11:29:00Z,
-34.57227846,-58.48882371,39.20000076293945,2021-06-12T11:29:02Z,
-34.57219884,-58.48867191,39.70000076293945,2021-06-12T11:29:04Z,
-34.57212654,-58.48857163,40.099998474121094,2021-06-12T11:29:06Z,
-34.57207436,-58.48850212,40.400001525878906,2021-06-12T11:29:08Z,
-34.57199166,-58.48850229,40.0,2021-06-12T11:29:10Z,
-34.57191107,-58.48852028,39.70000076293945,2021-06-12T11:29:12Z,
-34.57182033,-58.48860587,39.70000076293945,2021-06-12T11:29:14Z,
-34.57172345,-58.48868634,40.0,2021-06-12T11:29:16Z,
-34.57160755,-58.4887678,40.0,2021-06-12T11:29:18Z,
-34.57151296,-58.48882265,39.900001525878906,2021-06-12T11:29:20Z,
-34.57146462,-58.48889733,39.900001525878906,2021-06-12T11:29:22Z,
-34.57139099,-58.4889304,40.099998474121094,2021-06-12T11:29:24Z,
-34.57137717,-58.48895645,40.5,2021-06-12T11:29:26Z,
-34.57135858,-58.4889839,40.79999923706055,2021-06-12T11:29:28Z,
-34.57133854,-58.48902543,41.5,2021-06-12T11:29:30Z,
-34.57131657,-58.4890557,41.900001525878906,2021-06-12T11:29:32Z,
-34.5713077,-58.4890901,41.5,2021-06-12T11:29:34Z,
-34.57130558,-58.48911447,41.70000076293945,2021-06-12T11:29:36Z,
-34.57129506,-58.48912418,41.79999923706055,2021-06-12T11:29:38Z,
-34.57129931,-58.48911336,41.79999923706055,2021-06-12T11:29:48Z,
-34.57128731,-58.48911574,41.900001525878906,2021-06-12T11:29:50Z,
-34.57127828,-58.48911614,44.599998474121094,2021-06-12T11:32:28Z,
-34.57129046,-58.48907964,45.20000076293945,2021-06-12T11:33:10Z,
-34.57129834,-58.48906281,45.5,2021-06-12T11:33:12Z,
-34.57127885,-58.48908995,48.0,2021-06-12T11:33:20Z,
-34.57126528,-58.48908877,47.900001525878906,2021-06-12T11:33:22Z,
-34.5712134,-58.48912064,47.900001525878906,2021-06-12T11:33:24Z,
-34.57118021,-58.4891394,48.29999923706055,2021-06-12T11:33:26Z,
-34.57113425,-58.48917779,49.400001525878906,2021-06-12T11:33:28Z,
-34.57109552,-58.48918601,49.400001525878906,2021-06-12T11:33:30Z,
-34.57108063,-58.48920325,49.099998474121094,2021-06-12T11:33:32Z,
-34.57106335,-58.48922521,48.900001525878906,2021-06-12T11:33:34Z,
-34.57105025,-58.48923801,48.70000076293945,2021-06-12T11:33:36Z,
-34.5710247,-58.48925699,49.099998474121094,2021-06-12T11:33:38Z,
-34.57092542,-58.48936301,50.5,2021-06-12T11:33:40Z,
-34.57080551,-58.48947145,56.099998474121094,2021-06-12T11:33:42Z,
-34.57073031,-58.489536,55.20000076293945,2021-06-12T11:33:44Z,
-34.57066921,-58.48958975,52.099998474121094,2021-06-12T11:33:46Z,
-34.57056332,-58.4896581,52.400001525878906,2021-06-12T11:33:48Z,
-34.57043282,-58.48974776,53.400001525878906,2021-06-12T11:33:50Z,
-34.57033563,-58.48984383,52.900001525878906,2021-06-12T11:33:52Z,
-34.57020942,-58.48996105,53.29999923706055,2021-06-12T11:33:54Z,
-34.57009476,-58.4900314,52.70000076293945,2021-06-12T11:33:56Z,
-34.57002349,-58.49008858,52.79999923706055,2021-06-12T11:33:58Z,
