Latitude,Longitude,Altitude,Time
-34.56737983,-58.48554672,51.79999923706055,2021-06-10T06:40:44Z
-34.56727125,-58.48535869,50.900001525878906,2021-06-10T06:40:46Z
-34.56717148,-58.48518052,50.70000076293945,2021-06-10T06:40:48Z
-34.5670557,-58.48497593,49.29999923706055,2021-06-10T06:40:50Z
-34.56695145,-58.48480009,49.0,2021-06-10T06:40:52Z
-34.56689072,-58.48464047,54.29999923706055,2021-06-10T06:40:54Z
-34.56680127,-58.48446628,54.5,2021-06-10T06:40:56Z
-34.56671243,-58.48429881,54.20000076293945,2021-06-10T06:40:58Z
-34.566668,-58.48417592,54.5,2021-06-10T06:41:00Z
-34.56658445,-58.48407457,53.29999923706055,2021-06-10T06:41:02Z
-34.56652367,-58.48398074,52.20000076293945,2021-06-10T06:41:04Z
-34.56646805,-58.48388083,50.900001525878906,2021-06-10T06:41:06Z
-34.56643743,-58.48380396,50.400001525878906,2021-06-10T06:41:08Z
-34.56639058,-58.48369511,50.099998474121094,2021-06-10T06:41:10Z
-34.5663291,-58.48356527,49.5,2021-06-10T06:41:12Z
-34.56626916,-58.48344926,50.099998474121094,2021-06-10T06:41:14Z
-34.56617363,-58.48327073,49.29999923706055,2021-06-10T06:41:16Z
-34.56608583,-58.48309149,48.20000076293945,2021-06-10T06:41:18Z
-34.56599538,-58.48290721,48.400001525878906,2021-06-10T06:41:20Z
-34.56589855,-58.48273317,47.79999923706055,2021-06-10T06:41:22Z
-34.56581266,-58.48256166,48.5,2021-06-10T06:41:24Z
-34.56571331,-58.48235902,48.79999923706055,2021-06-10T06:41:26Z
-34.5656144,-58.48215891,49.5,2021-06-10T06:41:28Z
-34.56551266,-58.48194449,50.099998474121094,2021-06-10T06:41:30Z
-34.56540348,-58.48172073,50.29999923706055,2021-06-10T06:41:32Z
-34.56528947,-58.48149511,48.70000076293945,2021-06-10T06:41:34Z
-34.56518212,-58.48127194,49.20000076293945,2021-06-10T06:41:36Z
-34.56505765,-58.48103671,49.099998474121094,2021-06-10T06:41:38Z
-34.56493004,-58.4807863,49.400001525878906,2021-06-10T06:41:40Z
-34.56480246,-58.48052778,49.29999923706055,2021-06-10T06:41:42Z
-34.56467392,-58.48027484,49.400001525878906,2021-06-10T06:41:44Z
-34.56454812,-58.48004849,48.900001525878906,2021-06-10T06:41:46Z
-34.56443064,-58.47981883,48.70000076293945,2021-06-10T06:41:48Z
-34.56428807,-58.47958214,48.099998474121094,2021-06-10T06:41:50Z
-34.56415059,-58.47935688,46.20000076293945,2021-06-10T06:41:52Z
-34.56403733,-58.47911454,44.099998474121094,2021-06-10T06:41:54Z
-34.56392468,-58.47887501,44.20000076293945,2021-06-10T06:41:56Z
